Number,SOD,MDA,APX,POD,Protein,H2O2,DATE,Species,Abrev_Population_name,Population_Name,Population,Condition,Condition_Key
KCBN895,684.824454,3.241014895,145.9999879,117.0000086,27.85885279,0.824465807,Cold 2 (2020/01/08),KC,BN,Benut,Southern,10,C
KCBN1650,689.1083976,4.774081883,95.33325831,134.1999968,45.35003039,0.768589748,Cold 2 (2020/01/08),KC,BN,Benut,Southern,10,C
KCBN1623,690.3323554,3.946181285,66.33281708,153.2999973,46.1706163,0.834615392,Cold 2 (2020/01/08),KC,BN,Benut,Southern,10,C
KCKT2633,654.2248924,3.272548383,266.6664124,128.1666656,50.7323824,0.813888888,Cold 2 (2020/01/08),KC,KT,Kuantan,Northern,10,C
KCKT2691,739.9036739,4.16281399,258.6666743,148.8333295,49.25591224,0.848290598,Cold 2 (2020/01/08),KC,KT,Kuantan,Northern,10,C
KCKT2629,633.4171532,1.572948972,69.66670354,145.7666705,36.26179464,0.813675209,Cold 2 (2020/01/08),KC,KT,Kuantan,Northern,10,C
KOYX1937,701.3482268,3.011581829,86.66714032,139.3666665,34.40885278,0.921153846,Cold 2 (2020/01/08),KO,YX,Yunxiao,Northern,10,C
KOYX1905,630.357213,3.23891436,64.66666857,112.6333376,44.6970878,0.932371785,Cold 2 (2020/01/08),KO,YX,Yunxiao,Northern,10,C
KOYX1932,725.2158834,0.656614304,68.6665376,129.3333272,49.3235565,0.871047012,Cold 2 (2020/01/08),KO,YX,Yunxiao,Northern,10,C
KOFT486,698.2882638,0.483714128,74.66634115,93.69999667,35.13532296,0.955341878,Cold 2 (2020/01/08),KO,FT,Futian,Southern,10,C
KOFT1731,699.5122444,2.127713809,79.33338483,104.7666669,34.90297178,0.822863247,Cold 2 (2020/01/08),KO,FT,Futian,Southern,10,C
KOFT858,619.9533661,4.522781839,75.66650709,173.4333287,57.3470885,1.163247854,Cold 2 (2020/01/08),KO,FT,Futian,Southern,10,C
KCBN1670,692.1683378,8.617281795,49.99995232,83.09999108,12.12355842,0.699252137,Optimal (2019/12/30),KC,BN,Benut,Southern,25,A
KCBN1654,744.1875947,5.205215457,105.3333282,96.40000264,50.52944261,0.788675215,Optimal (2019/12/30),KC,BN,Benut,Southern,25,A
KCBN1644,701.3482268,11.01798167,94.99986966,168.1999962,44.93826397,0.813782056,Optimal (2019/12/30),KC,BN,Benut,Southern,25,A
KCKT2642,653.6128907,11.94414737,222.9996522,163.2333199,43.58826435,0.789529907,Optimal (2019/12/30),KC,KT,Kuantan,Northern,25,A
KCKT2630,195.2314008,7.831415177,167.6662763,77.8333346,17.87061846,0.881944441,Optimal (2019/12/30),KC,KT,Kuantan,Northern,25,A
KCKT2629,400.8605127,4.733380645,206.3330015,112.0666613,56.37355532,0.779273498,Optimal (2019/12/30),KC,KT,Kuantan,Northern,25,A
KOYX1953,698.2882638,11.07271603,72.66759872,142.4000065,45.0412047,0.855876069,Optimal (2019/12/30),KO,YX,Yunxiao,Northern,25,A
KOYX1921,675.644565,6.622048422,58.99985631,179.399997,57.3470885,0.874358978,Optimal (2019/12/30),KO,YX,Yunxiao,Northern,25,A
KOYX1932,607.1015125,3.496747236,88.66667747,132.0333282,25.59708792,0.825427345,Optimal (2019/12/30),KO,YX,Yunxiao,Northern,25,A
KOFT1161,578.9499122,1.432882473,110.9997431,133.5666676,42.05297141,0.837072651,Optimal (2019/12/30),KO,FT,Futian,Southern,25,A
KOFT1773,719.7079591,3.205713648,84.99979973,135.7000023,47.86179466,0.77713675,Optimal (2019/12/30),KO,FT,Futian,Southern,25,A
KOFT1206,676.2565667,11.06484652,72.33341535,224.9666552,59.71473575,0.989743604,Optimal (2019/12/30),KO,FT,Futian,Southern,25,A
KCBN1641,709.3041123,16.61614595,123.0005423,193.1999922,42.86473408,0.831730767,R2 (2020/01/22),KC,BN,Benut,Southern,R25_2,E
KCBN1623,736.231732,10.71418166,101.6672452,196.3333289,48.97649969,0.802884619,R2 (2020/01/22),KC,BN,Benut,Southern,R25_2,E
KCBN1629,780.2951261,3.888315483,258.6666743,289.4666791,42.17355862,0.805555556,R2 (2020/01/22),KC,BN,Benut,Southern,R25_2,E
KCKT2691,653.0009118,22.11034801,267.333587,167.9666638,50.75296704,0.838034182,R2 (2020/01/22),KC,KT,Kuantan,Northern,R25_2,E
KCKT2610,742.3516351,5.366614522,213.6667569,236.6666794,38.9853237,0.939636754,R2 (2020/01/22),KC,KT,Kuantan,Northern,R25_2,E
KCKT2665,753.3674837,8.096482542,101.6672452,156.1333338,20.47650022,0.848397438,R2 (2020/01/22),KC,KT,Kuantan,Northern,R25_2,E
KOYX1752,720.3199609,4.142147324,65.3330485,101.8666675,32.5412061,0.938888886,R2 (2020/01/22),KO,YX,Yunxiao,Northern,R25_2,E
KOYX1905,694.6163219,9.888947872,84.99979973,101.8333361,52.72649787,1.112713686,R2 (2020/01/22),KO,YX,Yunxiao,Northern,R25_2,E
KOYX429,721.5439415,3.27724794,145.6669966,123.4666655,46.88238166,0.822863247,R2 (2020/01/22),KO,YX,Yunxiao,Northern,R25_2,E
KOFT1273,726.4398641,5.33011495,62.66673406,146.9000081,37.60297103,1.00651709,R2 (2020/01/22),KO,FT,Futian,Southern,R25_2,E
KOFT858,673.1966265,8.577248791,59.33324496,127.5333265,50.68531928,0.921153846,R2 (2020/01/22),KO,FT,Futian,Southern,R25_2,E
KOFT1213,665.8527199,4.853180406,50.99972089,138.8000002,51.74120855,1.019123934,R2 (2020/01/22),KO,FT,Futian,Southern,R25_2,E
