gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Species
evm.TU.Contig10143.1024	56.33616146	0.388909123	0.148097171	2.626040181	0.008638462	0.014269903	KO
evm.TU.Contig10143.1029	1123.262161	0.932960776	0.186896591	4.991855503	5.98E-07	1.65E-06	KO
evm.TU.Contig10143.1163	1075.787782	1.422311989	0.19129575	7.435146835	1.04E-13	5.15E-13	KO
evm.TU.Contig10143.352	562.5687249	1.164014769	0.570388139	2.04074154	0.041276524	0.060511765	KO
evm.TU.Contig10143.353	868.5599074	0.923433834	0.257656883	3.583967267	0.000338415	0.000681544	KO
evm.TU.Contig10143.770	1.238110769	1.997981724	0.831777641	2.402062313	0.016302931	0.025782838	KO
evm.TU.Contig10143.899	190.8522009	2.533677049	0.30788331	8.229341984	1.88E-16	1.14E-15	KO
evm.TU.Contig10440.53	511.0631871	1.645521273	0.311234069	5.287085941	1.24E-07	3.66E-07	KO
evm.TU.Contig10660.22	29.33879007	1.370916588	0.367377335	3.731630827	0.000190244	0.000395999	KO
evm.TU.Contig11642.1070	29.84544522	-0.304324657	0.178643682	-1.7035288	0.088469153	0.121504516	KO
evm.TU.Contig11642.1327	56691.92771	1.151627595	0.161101197	7.148473251	8.77E-13	4.06E-12	KO
evm.TU.Contig11642.140	1414.789047	0.312767536	0.166105911	1.882940437	0.05970844	0.085017908	KO
evm.TU.Contig11642.1476	13.50957947	2.395510892	0.329890775	7.261527379	3.83E-13	1.82E-12	KO
evm.TU.Contig11642.373	215.2719679	-0.903283091	0.448960417	-2.011943717	0.04422587	0.064447891	KO
evm.TU.Contig11642.398	7202.923857	0.334233391	0.093372585	3.579566635	0.000344164	0.000692126	KO
evm.TU.Contig11642.539	12055.94907	0.484078485	0.194281307	2.491636965	0.012715593	0.020447376	KO
evm.TU.Contig11642.794	199.714605	2.353751478	0.30731677	7.659040143	1.87E-14	9.82E-14	KO
evm.TU.Contig11642.833	281.9704051	1.266260949	0.256341079	4.939750413	7.82E-07	2.13E-06	KO
evm.TU.Contig11642.932	1.555484154	-1.527495221	1.496180161	-1.020930006	0.307287601	0.37009052	KO
evm.TU.Contig12381.232	1293.097014	0.876467184	0.074949459	11.69410954	1.37E-31	2.24E-30	KO
evm.TU.Contig12381.306	1091.282671	0.000815558	0.054538959	0.01495368	0.988069135	0.990336974	KO
evm.TU.Contig12381.349	2156.070549	1.65651167	0.197298169	8.395980956	4.62E-17	2.92E-16	KO
evm.TU.Contig12381.600	185.5056203	1.506116992	0.264490428	5.694410202	1.24E-08	4.02E-08	KO
evm.TU.Contig12381.643	0.039843189	-0.30166305	3.003175356	-0.100448031	0.91998864	NA	KO
evm.TU.Contig12381.644	0.104864866	0.660123885	3.003175356	0.219808638	0.826020192	NA	KO
evm.TU.Contig14326.1033	366.0889072	0.570590121	0.138455012	4.121122914	3.77E-05	8.53E-05	KO
evm.TU.Contig14326.1094	3080.695334	0.702785695	0.155852812	4.509291091	6.50E-06	1.61E-05	KO
evm.TU.Contig14326.1115	2830.876776	0.236532647	0.057536858	4.110976102	3.94E-05	8.90E-05	KO
evm.TU.Contig14326.256	2.508546963	1.403463741	0.633019732	2.217093195	0.026616724	0.040537176	KO
evm.TU.Contig14326.914	306.0125197	0.684477671	0.105091648	6.513150055	7.36E-11	2.93E-10	KO
evm.TU.Contig14326.929	1237.067019	1.698609092	0.292707688	5.803090128	6.51E-09	2.18E-08	KO
evm.TU.Contig2581.435	1248.911421	0.273696923	0.260340815	1.051302397	0.293119727	0.354964619	KO
evm.TU.Contig2581.581	1352.901	0.8165648	0.1457631	5.601999	2.12E-08	6.73E-08	KO
evm.TU.Contig2685.1219	38.53283	-1.598806	0.5223532	-3.060776	0.002207644	0.00398368	KO
evm.TU.Contig2685.428	151.0209	0.7176401	0.4177618	1.717821	0.08582926	0.1181964	KO
evm.TU.Contig2685.546	225.834	-0.7349981	0.290709	-2.528295	0.01146182	0.01855937	KO
evm.TU.Contig2685.685	1166.525	0.4020839	0.1164794	3.451975	0.000556499	0.001089555	KO
evm.TU.Contig2685.796	137.7505	1.450685	0.2192955	6.615208	3.71E-11	1.51E-10	KO
evm.TU.Contig2685.809	9.436383	1.179255	0.5319567	2.216825	0.02663506	0.04056117	KO
evm.TU.Contig2712.1235	695.8037	0.4154329	0.07994472	5.196502	2.03E-07	5.85E-07	KO
evm.TU.Contig2712.1385	1.266662	0.7926106	0.8751978	0.9056361	0.3651285	0.4297764	KO
evm.TU.Contig2712.1493	400.978	1.06863	0.1084428	9.854311	6.57E-23	6.25E-22	KO
evm.TU.Contig2712.1586	34.74144	1.10304	0.3013076	3.660843	0.000251387	0.000515589	KO
evm.TU.Contig2712.1712	249.1074	0.4767217	0.1016457	4.690033	2.73E-06	7.05E-06	KO
evm.TU.Contig2712.1797	735.2488	-0.06132734	0.2479318	-0.2473557	0.8046329	0.8373919	KO
evm.TU.Contig2712.1821	909.2729	2.166304	0.6771579	3.199112	0.001378517	0.002555504	KO
evm.TU.Contig2712.1983	576.6463	0.4046069	0.09280096	4.359943	1.30E-05	3.10E-05	KO
evm.TU.Contig2712.201	379.2579	0.8501728	0.08355072	10.17553	2.55E-24	2.66E-23	KO
evm.TU.Contig2712.566	14.81642	-1.581016	0.7944314	-1.990123	0.04657736	0.06761604	KO
evm.TU.Contig2800.174	226.8627	0.4863354	0.1477829	3.290877	0.000998755	0.001885349	KO
evm.TU.Contig2800.330	4332.822	2.56263	0.1153283	22.2203	2.19E-109	1.83E-106	KO
evm.TU.Contig3098.106	9.524009	-1.480173	0.9509904	-1.556454	0.1196002	0.1597998	KO
evm.TU.Contig3098.247	121.2066	-0.08234028	0.4538088	-0.1814427	0.8560201	0.8818518	KO
evm.TU.Contig3098.82	629.6984	0.4390071	0.07188295	6.10725	1.01E-09	3.67E-09	KO
evm.TU.Contig3230.150	57.58261	2.23109	0.4874976	4.576618	4.73E-06	1.18E-05	KO
evm.TU.Contig3230.92	566.7877	0.2651752	0.06621734	4.004618	6.21E-05	0.000137332	KO
evm.TU.Contig33180.319	1280.232	-0.03724062	0.07281818	-0.5114192	0.6090575	0.6629858	KO
evm.TU.Contig3364.210	999.2267	0.3852888	0.08022927	4.802348	1.57E-06	4.14E-06	KO
evm.TU.Contig5252.1468	157.6199	1.255608	0.2045997	6.136899	8.41E-10	3.07E-09	KO
evm.TU.Contig5252.221	9969.843	0.5568403	0.07808236	7.131448	9.93E-13	4.58E-12	KO
evm.TU.Contig5252.387	1247.052	1.178456	0.08306005	14.18801	1.09E-45	3.90E-44	KO
evm.TU.Contig5252.495	2.483821	-1.988574	0.7783395	-2.554893	0.01062205	0.01729714	KO
evm.TU.Contig5252.55	121.4622	1.987169	0.2907197	6.835342	8.18E-12	3.51E-11	KO
evm.TU.Contig5252.583	50.50405	2.747421	0.2662846	10.31761	5.87E-25	6.39E-24	KO
evm.TU.Contig5252.614	213.4547	1.171026	0.3499868	3.345914	0.000820119	0.001569025	KO
evm.TU.Contig5252.678	0.7335304	2.98354	1.34089	2.225045	0.02607824	0.03979225	KO
evm.TU.Contig5252.702	113.4734	0.6619973	0.1045181	6.333803	2.39E-10	9.13E-10	KO
evm.TU.Contig5252.988	0.1552687	0.900576	2.567595	0.350747	0.7257782	NA	KO
evm.TU.Contig5373.182	452.6477	3.073466	0.3289415	9.343503	9.32E-21	7.77E-20	KO
