gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Species
evm.TU.Contig10143.899	190.8522009	2.533677049	0.30788331	8.229341984	1.88E-16	1.14E-15	KO
evm.TU.Contig10440.53	511.0631871	1.645521273	0.311234069	5.287085941	1.24E-07	3.66E-07	KO
evm.TU.Contig10660.718	1610.543539	1.814059911	0.150812881	12.02854759	2.52E-33	4.51E-32	KO
evm.TU.Contig11642.161	103.8643549	-0.130997607	0.177536758	-0.737861887	0.460598381	0.524570516	KO
evm.TU.Contig11642.794	199.714605	2.353751478	0.30731677	7.659040143	1.87E-14	9.82E-14	KO
evm.TU.Contig2712.1389	49.53502	1.763672	0.2980778	5.916816	3.28E-09	1.13E-08	KO
evm.TU.Contig5386.1235	1869.041	0.347546	0.102234	3.399513	0.000675059	0.001306668	KO
evm.TU.Contig5482.425	3.401091	-0.8423993	0.5422747	-1.553455	0.1203145	0.1606212	KO
evm.TU.Contig9220.828	44.35938	1.022806	0.2976827	3.435892	0.000590606	0.001153102	KO
evm.TU.Contig9867.296	565.9146	0.8345808	0.2003343	4.165941	3.10E-05	7.09E-05	KO
evm.TU.Contig10143.899	1796.1594	5.35105016	0.53565033	9.98981965	1.69E-23	2.11E-22	KC
evm.TU.Contig10440.53	4409.52832	4.44658563	0.39555543	11.2413717	2.55E-29	5.13E-28	KC
evm.TU.Contig10660.718	1084.91353	0.81945721	0.13818372	5.93020063	3.03E-09	1.03E-08	KC
evm.TU.Contig11642.161	131.487436	2.14849882	0.45147575	4.75883548	1.95E-06	4.93E-06	KC
evm.TU.Contig11642.794	680.942182	3.36828733	0.33908574	9.93343836	2.98E-23	3.64E-22	KC
evm.TU.Contig2712.1389	380.062044	4.71627501	0.51195356	9.21231013	3.19E-20	2.98E-19	KC
evm.TU.Contig5386.1235	1062.06001	-0.3260334	0.08542392	-3.8166526	0.00013527	0.00027687	KC
evm.TU.Contig5482.425	5.39789397	1.43604926	0.51796095	2.77250489	0.00556267	0.00917888	KC
evm.TU.Contig9220.828	173.2426	4.630755	0.3165348	14.62953	1.82E-48	1.47E-46	KC
evm.TU.Contig9867.296	743.4761	-1.291546	0.3467102	-3.725145	0.0001952	0.00039135	KC
