gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Species
evm.TU.Contig10143.1366	9789.923392	-1.576006675	0.202933631	-7.766118725	8.09E-15	4.36E-14	KO
evm.TU.Contig10143.175	1221.961132	0.336018633	0.106991566	3.140608615	0.001685972	0.003089671	KO
evm.TU.Contig10143.184	129.0601204	-1.198385435	0.142606257	-8.403456204	4.34E-17	2.75E-16	KO
evm.TU.Contig10143.205	6064.779223	-1.173391385	0.108901728	-10.77477283	4.53E-27	5.63E-26	KO
evm.TU.Contig10143.332	10376.52367	-1.347474733	0.152401589	-8.841605547	9.44E-19	6.82E-18	KO
evm.TU.Contig10143.384	6167.852765	-1.752374126	0.154213691	-11.36328503	6.37E-30	9.45E-29	KO
evm.TU.Contig10143.541	15623.125	-0.168566129	0.110641632	-1.523532556	0.127625522	0.169303118	KO
evm.TU.Contig10143.767	2148.974624	0.353530968	0.090489572	3.906869718	9.35E-05	0.000202233	KO
evm.TU.Contig10143.785	119.2722519	-0.60118753	0.13031897	-4.613200453	3.97E-06	1.00E-05	KO
evm.TU.Contig10440.10	148.5318431	-0.645244854	0.140077684	-4.606335818	4.10E-06	1.03E-05	KO
evm.TU.Contig10440.120	3256.743298	-1.760837471	0.151922568	-11.59036143	4.61E-31	7.30E-30	KO
evm.TU.Contig10660.465	1000.582675	-0.657409493	0.077023388	-8.535193167	1.40E-17	9.28E-17	KO
evm.TU.Contig10660.648	426.7234801	-0.992780178	0.127396782	-7.792819881	6.55E-15	3.56E-14	KO
evm.TU.Contig106900.1	74.67856772	-0.438022465	0.172590663	-2.537926778	0.011151131	0.018093383	KO
evm.TU.Contig113663.1	5114.220222	-2.417637564	0.224352998	-10.77604303	4.47E-27	5.55E-26	KO
evm.TU.Contig11642.1273	1055.902672	-0.113813545	0.168194857	-0.676676727	0.498611086	0.560591319	KO
evm.TU.Contig11642.1548	2496.565817	-0.020767764	0.074625012	-0.278294956	0.780785948	0.817199493	KO
evm.TU.Contig11642.1571	953.600136	-0.166129453	0.100939972	-1.645824247	0.099799949	0.135688313	KO
evm.TU.Contig11642.310	470.4007931	0.03060059	0.101779855	0.300654683	0.763677828	0.802458941	KO
evm.TU.Contig11642.332	6890.91082	-1.796497615	0.163480181	-10.98908507	4.31E-28	5.67E-27	KO
evm.TU.Contig11642.755	2615.864578	-0.40101657	0.147525171	-2.718292527	0.006561979	0.011048731	KO
evm.TU.Contig11642.829	318.5533961	-0.157751777	0.230542674	-0.684262806	0.493809229	0.556281789	KO
evm.TU.Contig11642.844	1814.724126	-0.641453328	0.166509284	-3.85235773	0.000116986	0.000249531	KO
evm.TU.Contig12381.139	3152.37616	-1.651819304	0.229015101	-7.212709121	5.48E-13	2.58E-12	KO
evm.TU.Contig12381.200	6611.365523	-1.748880338	0.172028414	-10.16622953	2.81E-24	2.92E-23	KO
evm.TU.Contig12381.335	2929.02248	-0.214807801	0.072014773	-2.98282964	0.002855969	0.005068922	KO
evm.TU.Contig12381.394	1372.38473	0.229931835	0.12043692	1.909147418	0.056243077	0.080515718	KO
evm.TU.Contig12381.473	3619.186541	-2.094311175	0.286490584	-7.310226908	2.67E-13	1.28E-12	KO
evm.TU.Contig12381.56	1902.730507	0.062708244	0.150703822	0.416102545	0.677334968	0.72592383	KO
evm.TU.Contig12381.72	2963.492678	-0.260749009	0.095574757	-2.72822049	0.006367703	0.010738007	KO
evm.TU.Contig14326.151	1252.20303	-1.378488327	0.159854121	-8.623414363	6.50E-18	4.40E-17	KO
evm.TU.Contig14326.92	1656.186615	-0.367546535	0.097318781	-3.776727672	0.000158902	0.000333709	KO
evm.TU.Contig14326.971	1512.132533	-1.244732961	0.179346205	-6.940391968	3.91E-12	1.72E-11	KO
evm.TU.Contig166914.12	369.2909621	-0.876991995	0.186581575	-4.70031403	2.60E-06	6.71E-06	KO
evm.TU.Contig177267.1	2.544776123	-2.843094668	0.736453246	-3.860522964	0.000113145	0.00024183	KO
evm.TU.Contig2581.348	1781.670197	-3.796556172	0.423168934	-8.971727049	2.92E-19	2.19E-18	KO
evm.TU.Contig2581.405	111.1662583	-0.852009529	0.119621464	-7.122547255	1.06E-12	4.87E-12	KO
evm.TU.Contig2581.810	543.1344	-1.975691	0.1915744	-10.31292	6.16E-25	6.69E-24	KO
evm.TU.Contig2581.837	1364.091	-0.8401934	0.1365797	-6.151672	7.67E-10	2.80E-09	KO
evm.TU.Contig2581.867	1354.916	-0.5216478	0.1204344	-4.331386	1.48E-05	3.52E-05	KO
evm.TU.Contig26800.1	0.5235277	-1.801035	2.234223	-0.8061127	0.4201779	0.4851731	KO
evm.TU.Contig2685.1220	1425.695	0.3207959	0.08794787	3.647569	0.000264733	0.000541161	KO
evm.TU.Contig2685.296	1772.107	-0.7400203	0.08855714	-8.356417	6.47E-17	4.06E-16	KO
evm.TU.Contig2685.390	139.5504	-0.9646031	0.2317437	-4.16237	3.15E-05	7.20E-05	KO
evm.TU.Contig2685.439	1079.816	-0.1182328	0.1486932	-0.795146	0.4265286	0.4913733	KO
evm.TU.Contig2685.513	11395.19	-1.160842	0.1316957	-8.814575	1.20E-18	8.61E-18	KO
evm.TU.Contig2685.569	20554.73	-3.59677	0.169092	-21.27108	2.10E-100	9.59E-98	KO
evm.TU.Contig2685.622	1017.44	-0.9125938	0.1046371	-8.72151	2.75E-18	1.91E-17	KO
evm.TU.Contig2685.929	69.36651	-1.791475	0.1834645	-9.764696	1.60E-22	1.47E-21	KO
evm.TU.Contig2712.1339	173.8962	-1.331063	0.1075014	-12.38182	3.28E-35	6.54E-34	KO
evm.TU.Contig2712.1644	547.5243	-1.442763	0.1999122	-7.216982	5.32E-13	2.50E-12	KO
evm.TU.Contig2712.1754	3838.648	-2.431343	0.2271219	-10.70501	9.64E-27	1.18E-25	KO
evm.TU.Contig2712.262	291.1082	0.04475703	0.1214961	0.3683823	0.7125882	0.7573937	KO
evm.TU.Contig2712.320	562.7126	-0.1779553	0.0755164	-2.356512	0.01844746	0.02890828	KO
evm.TU.Contig2712.6	289.7542	-1.116517	0.2099282	-5.318567	1.05E-07	3.11E-07	KO
evm.TU.Contig2712.800	14859.88	-3.702556	0.2025523	-18.27951	1.21E-74	1.73E-72	KO
